Years,Email,Gender,Age,Spend,CustID,Scores,Amount,Purchases,Income,Churn
9,0,1,25,8.83073,17883,3,499.5944353580705,10,22.623,0
8,1,1,27,10.54938,2589,3,501.4510924107765,12,23.184,0
8,0,1,27,8.22207,17224,4,497.87624331400974,11,23.203,0
6,1,0,27,8.56758,992,3,499.2540846928964,10,20.68,0
8,1,0,30,8.15065,21774,3,496.94812325832964,14,23.23,0
10,1,0,23,9.20662,9726,2,500.63710279627804,8,23.998,1
11,0,1,27,9.89728,5503,2,500.81776532554215,12,24.614,0
6,0,1,21,7.70245,10533,3,501.1497473079734,7,20.066,0
10,0,1,25,8.50225,4332,3,500.1478176493355,12,24.468,0
8,0,0,26,7.38484,7347,3,497.206717205307,11,23.61,0
9,0,1,23,8.87922,12667,2,501.93399810020327,9,22.645,0
9,0,1,25,8.61267,10551,3,500.7013742537922,12,23.936,0
7,1,1,27,10.42401,11633,3,500.8367912053664,12,23.465,0
10,1,1,25,10.77964,18790,3,500.5626987581957,6,20.664,1
11,0,1,24,7.29259,10861,3,499.5400744628661,11,23.722,0
5,1,1,24,10.73944,6919,2,502.9231177241497,9,20.626,0
9,1,1,27,10.90028,1880,2,502.20378905160123,11,22.748,0
9,0,1,27,8.85671,22389,3,500.5272925512494,13,23.41,0
7,1,1,26,10.49309,21170,3,502.95427323786157,11,20.664,0
9,0,1,24,9.89431,22289,3,501.39331674837763,11,25.338,0
8,1,1,24,10.56778,19710,3,502.6867402229354,9,22.31,0
8,0,1,24,8.12912,10527,3,500.3698636101711,10,21.872,0
6,1,1,27,9.67513,1654,4,499.1045808530227,10,21.783,0
11,0,1,22,10.33901,5056,2,503.01687529569756,9,24.415,0
9,0,1,20,8.88912,14775,2,502.7021231455849,8,22.467,0
7,0,0,22,8.82949,1806,2,501.6904166913526,8,21.322,1
7,1,1,24,8.04449,5544,3,501.21538029322824,10,21.686,1
8,1,0,28,9.39419,9603,3,498.4525034696115,12,24.203,0
9,0,0,26,7.16175,16951,4,496.38971854258386,12,25.107,0
9,0,0,21,8.58119,7114,2,501.61171572171867,10,25.435,1
8,1,0,21,7.66329,18457,2,499.336357131742,8,24.101,1
8,0,1,21,7.68865,6956,2,502.15510979284716,11,24.563,1
9,1,0,26,9.95818,2577,2,500.606079983743,10,22.569,0
7,1,0,22,9.897,15565,1,502.876171216286,8,23.163,1
9,0,1,24,10.55144,16384,2,501.27798795674806,7,21.793,1
11,0,1,23,8.04516,21238,3,500.29982429821547,10,24.223,0
5,1,1,24,8.26181,11011,3,500.98164719098696,9,19.173,0
7,1,1,22,5.94268,12520,2,499.25903100822256,10,24.361,1
7,1,1,26,11.15213,2038,3,502.95235927499,11,22.073,0
10,0,1,24,9.66135,22935,3,500.6650611947207,10,24.519,0
10,0,0,26,8.1049,13029,3,498.66915927517846,11,24.156,0
9,0,1,24,7.74972,9517,3,500.2725270765009,11,22.508,0
9,0,1,24,6.54723,21629,3,498.6995436168947,10,21.685,0
8,1,0,26,10.27179,5189,3,499.9262012436866,11,24.522,0
10,1,1,23,10.31181,7748,2,501.7433578377982,8,23.553,1
10,0,1,24,7.38032,3986,3,497.90465160761215,10,23.262,0
8,0,1,21,6.16187,7399,2,499.65527885240795,11,25.341,1
11,0,0,30,8.60745,4476,3,497.06792199477195,15,25.376,0
12,0,1,24,9.60745,6219,3,500.5173765924288,11,26.067,0
6,1,0,28,7.74365,17406,3,497.35624600019173,11,21.043,0
9,1,0,23,10.66534,3725,2,501.65938557668386,6,22.237,1
10,0,1,22,8.40097,2125,3,500.4613236297101,10,24.331,0
9,1,1,23,10.26116,22852,2,502.3017739972018,8,22.641,1
7,1,1,24,9.7896,883,3,501.91042996570826,10,22.558,0
9,0,1,23,7.93258,20213,3,499.4050338713561,9,23.401,0
10,0,1,24,13.29366,3084,3,504.42672753637197,8,22.051,1
7,1,1,24,10.60076,18982,2,505.0232031150143,10,21.114,0
12,0,0,26,6.7019,5561,3,496.221868298249,12,25.359,0
8,1,1,25,8.32257,22229,3,498.9901123127816,8,20.905,1
10,0,1,27,9.4012,12949,3,499.7036177143225,12,24.349,0
7,1,1,26,8.82903,19676,3,499.88666408928196,10,20.996,0
10,0,1,24,10.39693,2326,3,501.2980212392396,11,25.105,0
7,1,1,26,9.21519,16443,3,500.34178949144706,11,21.124,0
7,0,1,22,9.43122,17657,2,502.60347150922786,8,21.728,0
9,0,1,25,9.46783,776,3,502.04943712490405,11,21.746,0
5,1,1,21,10.66235,14950,3,503.82685134005595,7,20.913,0
11,0,1,25,9.3228,22031,3,500.08106519440327,12,26.104,0
8,0,0,26,8.1457,15526,3,498.19840487591705,12,24.017,0
8,1,1,23,9.46457,12243,3,500.272388021718,8,22.73,0
8,1,1,20,7.48085,11344,2,501.5190091744239,10,25.112,1
5,1,1,22,9.69259,7894,3,501.64658547557866,6,20.022,0
8,1,1,26,10.41878,13725,3,501.63390166352985,11,22.9,0
7,1,1,27,10.2771,5049,3,501.7328398187485,11,21.342,0
10,0,0,24,7.26595,22854,3,498.3355649495654,9,23.583,0
8,1,0,24,9.30663,18345,3,500.2922795476487,9,22.896,0
9,0,1,25,9.25838,21410,4,501.2273440037541,11,23.115,0
8,1,1,22,9.46703,9744,2,502.0219025945912,8,23.015,1
10,0,0,27,9.35217,13710,2,500.36017546905475,12,23.304,0
11,0,1,27,9.50241,20094,3,498.9724484104531,11,24.026,0
10,0,1,28,9.35657,3067,3,499.1127572759003,14,24.664,0
8,1,1,26,9.31749,22425,3,498.9461394848513,10,22.653,0
10,1,1,25,11.88753,1803,3,502.0860668354462,7,21.441,1
9,0,1,22,5.39885,10609,3,497.23887665741137,8,22.203,0
8,0,1,24,7.98778,7799,3,498.95344487793665,10,23.191,0
9,0,1,26,8.93353,3746,3,499.1284258480292,11,23.433,0
6,1,1,24,10.29447,13570,3,502.1508621564812,9,21.499,0
10,0,0,22,11.72751,17702,2,502.3421465483455,6,23.076,1
7,1,1,25,10.32686,2186,2,501.78007912272426,9,21.748,0
7,0,1,22,10.40124,8753,2,504.0601475835527,8,22.067,1
9,0,1,22,9.84527,8583,2,502.56164275702065,9,23.787,1
10,0,0,25,8.90581,8261,3,499.0643994708865,11,25.35,0
8,1,1,26,9.27673,8540,2,500.78210166177513,10,21.42,0
7,1,1,24,10.92874,20936,3,504.0039335645462,10,21.938,0
11,0,1,25,8.76775,5280,3,498.41928515298594,11,25.86,0
10,0,1,26,9.41474,10584,3,500.5463323521762,12,24.762,0
10,0,0,27,8.42144,2183,3,497.8153330497629,13,25.515,0
10,0,1,25,8.63487,15895,3,500.8140946275844,12,23.904,0
11,0,1,27,6.91735,12303,4,496.58339456805794,14,25.478,0
9,0,1,25,9.2967,500,3,499.3936275578732,10,23.9,0
5,1,1,26,11.4478,7709,3,503.52133101852246,10,19.956,0
10,1,1,21,10.38042,4673,2,503.4052062397063,9,26.009,1
8,0,1,26,9.07192,22499,3,500.22719057531435,10,21.764,0
10,0,1,23,9.64878,11403,3,500.9304235176901,9,24.728,0
8,0,1,23,8.04858,16861,3,500.02159870479636,10,23.559,0
9,1,0,24,8.2756,5139,2,500.01589908779664,9,23.606,1
7,1,1,24,9.62683,17007,3,502.44072037019413,10,20.941,0
9,0,1,24,9.04438,4085,3,499.379303434337,11,24.964,0
9,1,0,25,9.10983,7229,2,500.456347351264,9,21.574,1
7,1,0,25,9.4619,7025,3,499.26480778268234,9,22.994,0
9,0,1,25,7.98409,20694,3,499.0835143253661,10,22.279,0
6,1,1,23,6.87568,6022,3,500.57526856949397,10,22.208,1
10,0,0,26,7.72913,22277,2,499.253185346894,10,22.091,0
11,0,0,29,8.57401,21663,3,498.3423195599694,13,23.722,0
8,0,1,26,8.40277,21106,3,498.7886609022069,11,22.831,0
11,0,1,21,8.33468,22650,3,501.5319320737265,9,24.117,0
9,1,1,22,8.30264,11553,2,500.4115032823378,9,24.523,1
8,1,1,26,10.09229,14627,3,501.9772285199055,11,22.011,0
8,0,1,20,10.63283,5677,3,504.52084702034546,7,22.634,0
11,0,1,26,8.41886,16391,3,499.667377054685,13,24.66,0
8,0,1,23,8.78396,21726,3,501.38931442091234,9,21.882,0
8,1,1,22,8.31807,1205,2,500.9684670313584,9,23.697,1
8,0,1,22,8.68823,6390,3,501.2923596872017,9,22.208,0
10,0,0,29,8.3324,22523,3,498.3353007810297,13,23.307,0
8,1,0,25,7.51348,19484,2,498.213896090005,8,21.38,1
8,0,1,22,9.4279,9768,3,501.1666158795749,8,23.598,0
9,0,1,22,10.6074,8019,1,504.015229481851,9,23.299,1
8,0,1,24,8.64852,342,3,500.07387404573547,11,24.164,0
8,0,1,25,7.43122,18803,3,498.4174999605728,10,22.496,0
10,1,0,28,10.32484,6858,3,499.0856504819243,13,25.35,0
11,0,1,24,8.71408,635,2,501.22691056191894,9,23.079,0
9,0,1,26,9.5171,6098,3,499.2314146905157,12,25.336,0
8,0,0,27,6.25551,20566,4,495.00713238401386,11,22.087,0
8,1,1,27,9.22424,15271,2,501.00207262588214,11,21.433,0
9,0,1,23,7.64659,1574,3,498.51842353525984,9,24.538,0
11,0,0,25,6.65434,9110,3,498.00085598249166,11,23.917,0
8,0,0,26,8.11655,6611,3,498.46359675300596,10,22.262,0
9,0,1,23,8.40014,10454,4,498.20677889570743,10,25.224,0
7,1,1,24,11.42964,9716,3,502.49520684897465,9,23.559,0
7,1,0,23,7.80918,7178,3,498.9091863803692,7,21.269,0
8,1,1,27,10.9876,14212,2,502.7939374570132,11,21.977,0
9,1,0,23,9.17884,14153,2,500.1422302194703,8,22.954,1
9,0,1,23,8.14864,5591,3,499.65027632737724,9,23.329,0
9,1,0,27,9.33414,3937,3,499.40315508017056,11,23.686,0
10,1,1,23,9.65035,6299,2,501.96362640793865,9,24.194,1
7,1,0,29,9.29019,14666,3,498.66277120104826,12,21.225,0
8,0,0,27,6.90828,1683,4,494.1880857944273,11,24.631,0
9,0,1,25,8.53925,11289,2,499.95794332770197,10,23.235,0
10,1,1,22,9.93331,9934,2,500.8082221197814,6,23.551,1
9,1,0,27,9.34534,13175,3,498.6757525499113,11,23.053,0
8,1,0,27,8.82132,1634,3,499.2330188925556,10,21.717,0
8,1,1,26,9.88653,19806,2,502.6692408118331,10,20.285,0
7,1,1,27,10.1603,10458,3,500.64275230421464,11,21.535,0
8,0,1,26,9.14548,8769,3,500.89477957844406,12,22.108,0
9,0,1,22,9.48732,3728,3,503.0489971278502,9,22.742,0
8,1,1,23,9.88722,11850,3,501.74898337448934,9,22.756,0
10,0,1,28,8.67442,12688,3,498.974126139278,14,25.184,0
7,1,0,23,6.79974,22868,2,499.2771812688977,9,23.051,1
9,0,1,24,8.15713,10922,3,499.4933522883669,10,23.453,0
9,1,0,31,9.79193,6114,3,497.02654828957645,13,23.973,0
8,0,1,23,7.46299,22945,3,499.5835933154861,9,22.391,0
9,1,1,26,10.86555,15258,3,501.7392239238659,11,23.583,0
7,0,1,22,9.63625,21595,3,501.65987903555043,8,22.513,0
10,0,1,21,8.37836,6451,2,502.545580787552,10,23.936,0
8,1,0,27,10.31089,13509,3,499.63781290168816,12,24.027,0
8,1,0,26,9.40237,11762,2,499.4935392422084,10,22.88,0
10,0,1,29,8.65043,14688,3,498.1785794117066,14,24.195,0
7,1,1,23,7.54094,17690,2,500.22077053262495,9,22.144,1
10,1,1,24,11.49343,5815,2,502.0741479066253,7,22.834,1
10,0,1,25,8.94829,19287,3,498.76159955207277,11,24.867,0
10,0,0,27,8.08953,9980,3,497.50870787995746,11,23.795,0
8,1,1,23,6.40689,22829,2,499.30265870048567,10,23.052,1
10,0,1,25,11.21709,5745,3,502.800481127002,12,25.312,0
10,0,1,22,7.91568,3113,3,500.3525767067674,10,24.292,0
9,1,1,23,9.84632,21893,2,500.4489641462773,7,22.255,1
9,0,1,25,8.72053,8329,3,499.46506994193487,10,23.966,0
7,1,0,27,8.14847,16502,4,496.95893918440254,11,23.116,0
9,1,0,27,10.77775,18234,3,500.0652804993355,11,23.584,0
10,1,0,27,9.57054,21320,3,499.5534288103184,11,24.135,0
6,0,1,26,7.21415,13263,3,499.1379214209085,11,20.576,0
9,0,1,22,11.15781,270,3,503.03350227687895,7,22.178,1
10,0,1,27,8.32924,9569,3,499.79341733038586,13,23.31,0
11,0,0,26,8.65623,4175,3,498.8818525381842,11,24.286,0
9,0,1,25,7.81128,960,3,498.36365468202047,10,22.887,0
8,1,1,25,9.65767,2450,3,500.2312820487393,9,23.325,0
9,0,1,23,9.63314,14032,2,501.95793450261266,8,22.809,0
11,0,1,26,8.34257,22183,3,498.5893656976492,12,24.719,0
10,0,0,25,7.22443,10974,3,497.68779234956037,10,23.986,0
10,0,1,25,8.24129,12825,3,499.389016560646,10,23.391,0
9,0,1,25,10.58381,16708,3,502.65473910236307,10,21.604,1
9,0,1,25,8.62768,423,3,499.7100258602104,11,23.991,0
10,0,1,22,12.87938,20558,2,504.26042921584286,6,22.998,1
10,0,1,21,8.76195,672,2,501.75964371690503,8,23.345,0
7,1,1,27,8.98885,7811,3,499.4991852002021,10,21.401,0
7,1,1,26,11.00587,4070,2,502.02230080242214,9,21.807,0
11,0,0,31,7.16803,1796,4,494.3769325664634,14,25.263,0
10,0,0,24,7.84058,21460,3,497.558023431633,10,25.639,0
6,1,0,28,9.97954,21883,3,498.6633052163928,11,22.077,0
8,0,1,23,13.13104,5157,3,505.3170031744309,7,20.687,1
10,0,1,24,7.9244,419,3,499.15469888537405,11,23.701,0
8,0,0,22,7.70126,12528,2,500.0244059532948,8,23.433,1
7,1,0,28,9.33511,4026,3,499.1132702625448,11,21.409,0
7,1,1,25,10.02938,9461,3,501.88742846226836,10,21.415,0
6,0,1,20,7.40879,1136,2,502.19660772571757,9,22.892,1
10,1,0,30,10.85937,19348,3,499.0508144530719,15,25.382,0
7,1,0,26,9.17485,21479,3,499.65461867253345,9,21.659,0
9,0,1,26,8.5922,8095,3,499.473658064024,11,22.7,0
5,1,0,27,9.83596,8256,3,499.2343658736388,9,20.194,0
8,1,1,22,10.45965,3269,2,502.81284450475647,7,21.976,1
11,0,1,25,8.66989,21938,3,499.73495822160226,11,24.599,0
8,0,0,28,7.31787,14879,3,496.59317610470475,12,22.823,0
10,0,1,26,9.5481,10802,3,500.1131527867797,11,23.916,0
11,0,1,27,8.43236,20025,3,498.8793571113698,11,23.015,0
6,1,1,27,10.65869,20045,3,501.88707267540485,11,20.991,0
10,0,1,27,9.81936,16965,3,501.04638746584607,12,22.723,0
9,1,1,22,11.47837,19927,2,503.62783152486213,7,23.354,1
6,1,1,26,10.0133,18691,3,501.0689909296749,11,22.02,0
6,1,0,27,8.9643,9571,4,498.1157217908325,11,22.277,0
9,0,0,27,8.49166,6685,3,497.90697495787106,12,23.398,0
9,0,1,26,8.06548,21463,3,499.95989781169146,12,22.224,0
9,1,1,24,11.57773,20871,3,502.819050049799,7,21.165,1
8,1,1,25,11.11444,16936,2,503.683562099749,10,21.603,0
9,0,1,23,10.02268,11768,3,502.6282393196851,10,23.39,1
8,0,0,21,7.16572,14540,1,502.1203721612381,11,25.981,1
9,0,1,25,8.97069,5699,3,500.3750957901905,11,23.481,0
10,0,1,25,9.02257,15399,3,500.57906034835,11,24.238,0
9,1,0,23,11.05825,18497,1,502.15508510910945,6,22.647,1
8,1,1,26,9.64007,3414,2,501.6017366726643,11,22.367,0
10,0,1,24,10.60201,5808,3,502.832994824646,11,24.324,0
7,0,1,23,6.61424,16274,3,499.97804073144357,10,21.13,1
7,0,1,23,8.53848,14956,3,500.74153067750063,9,22.369,0
7,0,1,25,9.24648,8690,3,500.28862685170367,10,22.661,0
9,1,1,27,9.43795,5802,2,501.798244951636,12,20.817,0
8,1,1,24,9.32654,9209,2,502.1602055215804,10,22.132,1
7,0,1,24,7.44689,2411,3,499.72149160327996,10,21.911,0
8,0,0,25,8.77891,18864,3,499.12028494683483,10,24.006,0
7,0,1,24,6.18473,13378,3,497.9343659123359,9,20.693,0
9,1,1,26,9.80585,20339,2,501.88375921457776,11,22.597,0
11,0,0,26,8.56131,13174,3,497.9392016866399,13,26.498,0
9,0,0,25,9.64971,13129,2,500.51883078100803,11,24.437,0
10,0,0,29,9.15333,322,3,498.46179178530855,13,24.84,0
8,0,1,26,9.5056,20001,3,501.24989909705,11,22.099,0
9,1,1,28,10.12756,12141,3,500.86551511056314,13,23.596,0
10,1,1,25,10.69146,15484,2,501.36014512273147,8,23.507,1
7,1,0,27,8.74621,18513,3,498.5492315533258,11,22.655,0
7,1,0,26,10.00031,7699,3,500.53588771554837,10,22.897,0
9,0,1,21,10.69505,5565,1,503.6757624527228,8,24.876,1
6,1,0,27,9.05707,1308,3,498.6995872591352,10,21.922,0
10,0,1,22,9.10779,5850,2,502.1565365263423,10,23.889,0
7,0,1,23,10.18388,15196,3,501.8096474802267,10,23.544,0
9,0,1,24,8.12864,21033,3,500.2203896008521,10,23.249,0
10,0,0,28,6.89573,17996,3,497.2289106770977,13,22.321,0
7,1,0,26,9.06843,7495,3,498.86837122359105,9,21.796,0
8,1,0,28,9.14161,17984,3,498.03947661914464,12,22.765,0
10,1,1,23,10.00768,22105,3,502.18488550339384,9,23.813,1
8,0,1,25,9.06958,1610,3,500.4788305771963,11,23.64,0
8,0,1,24,10.17575,18374,3,502.6550539222658,10,21.775,1
10,0,1,25,7.04162,5847,3,498.75287524376796,11,23.335,0
6,1,1,23,4.42213,15531,3,497.5580511711411,10,22.018,1
10,0,1,24,10.16505,18219,2,503.0397591978648,11,24.545,0
10,0,0,28,7.25547,12644,3,496.1135070029702,12,23.677,0
9,0,1,21,6.98518,9930,4,499.17325724240834,9,23.848,0
5,1,1,24,9.6313,8917,3,501.90070964073743,8,19.894,0
12,0,1,27,7.75906,15089,2,499.99618595116334,12,22.662,0
10,0,1,23,11.03433,19226,2,502.4769925884106,7,23.113,1
10,1,1,24,9.3403,22530,2,500.0407455914567,8,22.587,1
7,0,1,23,8.21427,1809,3,500.9001746687583,9,21.689,0
9,0,1,25,8.98975,8290,2,500.54794349542686,10,22.412,0
8,1,1,26,9.39844,4196,3,499.4237136044504,11,24.035,0
10,0,1,25,8.88944,3723,3,499.7394903246632,12,24.859,0
9,0,0,25,9.09427,5695,3,498.8793013795834,10,23.762,0
12,0,1,26,6.88165,1675,3,496.7088798190472,12,25.28,0
9,0,1,19,9.06055,22128,3,503.39660085486435,8,23.651,0
10,1,1,23,10.50356,19719,3,501.2269596356305,7,23.009,1
6,1,1,26,8.60147,11252,2,500.94615333992795,9,19.473,0
9,0,1,24,7.75418,4968,3,499.84576211962553,10,22.347,0
7,1,1,21,4.69884,1527,2,497.9355504294504,10,23.743,1
9,0,1,25,8.12646,4495,2,500.02076600588214,10,22.038,0
11,0,0,28,7.43029,3525,3,495.7132269505837,13,25.921,0
7,1,0,24,9.22168,15949,2,500.4405013405117,7,21.241,0
9,0,0,25,7.98865,17164,2,499.4869534178271,9,21.66,0
6,0,1,23,7.29657,15356,3,498.9965289585254,7,20.75,0
6,1,1,28,11.78713,7591,3,502.2813919874487,12,21.535,0
10,1,1,27,10.09111,4842,3,501.0659679889386,11,22.826,0
10,0,1,23,7.50947,17568,3,499.6919594633994,10,23.943,0
9,0,1,22,7.49248,14903,3,499.59777347469094,10,24.194,1
7,1,1,26,10.25908,19890,3,502.11826427995527,11,21.664,1
11,0,1,23,8.76146,21896,3,500.25072084775803,10,25.578,0
6,1,0,25,8.68894,21439,2,499.9039775758557,8,20.079,0
8,0,1,27,8.96734,12249,4,498.8046043937707,12,23.361,0
8,0,1,19,10.14978,2554,2,504.64697120969475,6,22.191,0
9,1,0,25,7.72845,18198,2,498.2290930689473,8,22.1,1
9,0,1,24,8.38617,5244,3,499.89125639588264,10,23.798,0
8,0,1,26,7.69644,20544,3,499.07018896161867,12,23.189,0
10,1,1,26,10.77869,20366,3,502.42958547401213,13,24.839,0
7,0,1,22,8.84677,14674,3,503.1504343545223,10,22.238,0
6,1,1,24,10.54271,7162,3,502.8094133659098,8,20.718,0
8,1,1,26,11.53548,20716,2,503.5366083137976,10,22.271,0
7,0,1,20,7.41283,10019,2,501.99249770601233,7,20.757,0
9,1,1,26,9.89627,13102,3,500.43264564285914,10,23.195,0
8,1,0,27,9.34993,14884,3,499.3200986135272,10,22.379,0
9,0,1,27,7.96876,11073,4,497.98064590310196,13,24.263,0
8,1,1,27,9.76068,14907,3,499.9319444667946,11,22.089,0
10,1,1,25,12.30065,22021,3,502.28013457838233,7,21.534,1
9,0,0,27,8.25453,17156,4,497.0768556414739,12,23.964,0
6,0,1,21,8.50481,4739,2,502.82395722980806,7,19.989,0
8,0,1,24,9.69709,17276,3,501.8309489432381,10,22.502,0
7,0,1,20,11.40879,1393,3,505.99425845728615,8,22.892,0
6,0,1,25,8.81403,10401,4,500.54219841380893,10,20.926,0
9,1,0,22,8.74907,3326,2,500.17015126827977,7,23.848,1
10,1,1,29,10.18897,13542,3,500.42611760994174,14,23.978,0
7,0,0,28,7.6062,21975,4,496.6032239084341,12,22.507,0
9,0,0,27,8.73254,17272,3,498.6813113958977,11,23.496,0
5,1,1,28,10.26302,12048,3,499.9629547577404,11,19.957,0
10,1,1,22,12.22323,9495,2,503.68996654452513,7,23.761,1
11,0,0,28,7.80541,9297,3,496.70596581210236,12,25.098,0
10,0,1,25,8.01511,4667,3,499.64612808275774,11,24.087,0
8,0,1,21,7.26196,3879,3,499.2122884383941,8,22.461,0
9,0,1,28,8.43771,16614,4,498.19231306680854,13,23.645,0
8,0,1,25,9.20343,7041,3,499.6237963208083,9,22.751,0
10,0,1,24,9.90126,14139,2,502.4401485092779,9,22.297,0
8,1,0,29,9.0571,9692,3,497.2437410993536,12,23.204,0
9,1,0,27,9.55995,2255,2,499.65754873238984,11,22.525,0
8,1,0,26,8.82706,7238,3,498.1380716743431,6,19.717,1
